internal_key	internal_value	ices_export
		
		
sample_orderer_name_sv	Swedish Agency for Marine and Water Management	SWAM
sample_orderer_name_sv	Swedish Environmental Protection Agency	SEPA
sampling_laboratory_name_sv	Umeå University	UMSC
analytical_laboratory_name_en	The Sven Lovén Centre for Marine Sciences-Tjärnö	TMBL
reporting_institute_name_sv	The Sven Lovén Centre for Marine Sciences-Tjärnö	TMBL
reporting_institute_name_sv	The Sven Lovén Centre for Marine Sciences-Kristineberg	KMFS
sampling_laboratory_name_en	The Sven Lovén Centre for Marine Sciences-Tjärnö	TMBL
sampling_laboratory_name_en	The Sven Lovén Centre for Marine Sciences-Kristineberg	KMFS
analytical_laboratory_name_sv	The Sven Lovén Centre for Marine Sciences-Tjärnö	TMBL
analytical_laboratory_name_sv	The Sven Lovén Centre for Marine Sciences-Kristineberg	KMFS
sampling_laboratory_name_sv	The Sven Lovén Centre for Marine Sciences-Tjärnö	TMBL
sampling_laboratory_name_sv	The Sven Lovén Centre for Marine Sciences-Kristineberg	KMFS
sampling_laboratory_name_en	-	
sampling_laboratory_name_sv	Stockholm University Department of Ecology Environment and Plant Sciences	SUSE
sampling_laboratory_name_sv	Swedish Meteorological and Hydrological Institute	SMHI
sampling_laboratory_name_sv	Linnaeus University	UCKS
analytical_laboratory_name_sv	Swedish Meteorological and Hydrological Institute	SMHI
analytical_laboratory_name_sv	Umeå University	UMSC
sampling_laboratory_name_sv	LNU	UCKS
analytical_laboratory_name_sv	Linnaeus University	UCKS
analytical_laboratory_name_sv	Stockholm University Department of Ecology Environment and Plant Sciences	SUSE
analytical_laboratory_name_sv	-	
analytical_laboratory_name_sv	FITO-Lab	SFIP
analytical_laboratory_name_sv	National Marine Fisheries Research Institute (NMFRI)	MIRG
analytical_laboratory_name_sv	WEAQ AB	WEAQ
platform_code	74	AA15
platform_code	7774	AA15
platform_code	7790	AA30
sample_orderer_name_en	Swedish Agency for Marine and Water Management	SWAM
sample_orderer_name_en	Swedish Environmental Protection Agency	SEPA
sampling_laboratory_name_en	Umeå University	UMSC
sampling_laboratory_name_en	Stockholm University Department of Ecology Environment and Plant Sciences	SUSE
sampling_laboratory_name_en	Swedish Meteorological and Hydrological Institute	SMHI
sampling_laboratory_name_en	Linnaeus University	UCKS
analytical_laboratory_name_en	Swedish Meteorological and Hydrological Institute	SMHI
analytical_laboratory_name_en	Umeå University	UMSC
sampling_laboratory_name_sv	LNU	UCKS
analytical_laboratory_name_en	Linnaeus University	UCKS
analytical_laboratory_name_en	Stockholm University Department of Ecology Environment and Plant Sciences	SUSE
analytical_laboratory_name_en	-	
analytical_laboratory_name_en	National Marine Fisheries Research Institute (NMFRI)	MIRG
analytical_laboratory_name_en	WEAQ AB	WEAQ
dev_stage_code	C1	C1
dev_stage_code	C2	C1
dev_stage_code	C3	C1
dev_stage_code	C4	C4
dev_stage_code	C5	C4
preservation_method_code	ETHG	ETH9GL
monitoring_program_code	National	NATL
monitoring_program_code	H	COMB
monitoring_program_code	HELCOM	COMB
monitoring_program_code	O~H	CEMP~COMB
monitoring_program_code	OSPAR~HELCOM	CEMP~COMB
monitoring_program_code	O~NTL	NATL~CEMP
