internal_key	value
dataset_name	xxSHARK_Epibenthos_2015_2016_KLST_GRUNDA
dataset_name	xxSHARK_Epibenthos_2016_AQBI_XLST
dataset_name	xxSHARK_Epibenthos_2016_LITORALIS_ELST
dataset_name	xxSHARK_Epibenthos_2016_LNU_dropvideo
dataset_name	xxSHARK_Epibenthos_2016_LNU_KLKK
dataset_name	xxSHARK_Epibenthos_2016_LNU
dataset_name	xxSHARK_Epibenthos_2016_SVVAEK_BDLST
dataset_name	xxSHARK_Epibenthos_2016_SVVAEK_BKVF_VFVH
dataset_name	xxSHARK_Epibenthos_2016_SVVAEK_LVVF
dataset_name	xxSHARK_Phytoplankton_2016_DEEP_ABLST_CLST
dataset_name	xxSHARK_Phytoplankton_2016_SMHI_BVVF
dataset_name	xxSHARK_Phytoplankton_2016_SMHI_OLST
dataset_name	xxSHARK_Phytoplankton_2016_SMHI_SLV_biotox
dataset_name	xxSHARK_Phytoplankton_2016_SMHI
dataset_name	xxSHARK_Phytoplankton_2016_WEAQ_HAL
dataset_name	xxSHARK_Zoobenthos_2016_DEEP_ACLST
dataset_name	xxSHARK_Zoobenthos_2016_DEEP_DLST
dataset_name	xxSHARK_Zoobenthos_2016_DEEP_ILST
dataset_name	xxSHARK_Zoobenthos_2016_DEEP_NatAsko
dataset_name	xxSHARK_Zoobenthos_2016_DEEP
dataset_name	xxSHARK_Zoobenthos_2016_MEDINS_MLST
dataset_name	xxSHARK_Zoobenthos_2016_PAG_NLST_HallandinventKust
dataset_name	xxSHARK_Zoobenthos_2016_PAG_NLST_Hallandinvent
dataset_name	xxSHARK_Zoobenthos_2016_PAG_NLST_HallandsKVK
dataset_name	xxSHARK_Zoobenthos_2016_PAG_NLST_Hallandvatten
dataset_name	xxSHARK_Zoobenthos_2016_PAG_NLST_Kungsbackanatur
dataset_name	xxSHARK_Zoobenthos_2016_PAG_NLST_Kungsbacka
dataset_name	xxSHARK_Zoobenthos_2016_UMSC


dataset_name	SHARK_Epibenthos_2016_DEEP_Asko
dataset_name	SHARK_Epibenthos_2016_DEEP_Gotland
dataset_name	SHARK_Epibenthos_2016_LNU

dataset_name	SHARK_Phytoplankton_2016_SMHI

dataset_name	SHARK_Zoobenthos_2007_2016_DEEP_Asko
dataset_name	SHARK_Zoobenthos_2016_DEEP
dataset_name	SHARK_Zoobenthos_2016_UMSC

dataset_name	SHARK_Zooplankton_2016_DEEP
dataset_name	SHARK_Zooplankton_2016_SMHI
dataset_name	SHARK_Zooplankton_2016_UMSC
