Scientific name	Comments	WORMS Authority	WORMS Rank	WORMS Kingdom	WORMS Phylum	WORMS Class	WORMS Order	WORMS Family	WORMS Genus	WORMS AphiaID
Abietinaria abietina		(Linnaeus, 1758)	Species	Animalia	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Abietinaria	117870
Abra		Lamarck, 1818	Genus	Animalia	Mollusca	Bivalvia	Veneroida	Semelidae	Abra	138474
Abra alba		(W. Wood, 1802)	Species	Animalia	Mollusca	Bivalvia	Veneroida	Semelidae	Abra	141433
Abra nitida		(O. F. Müller, 1776)	Species	Animalia	Mollusca	Bivalvia	Veneroida	Semelidae	Abra	141435
Abra prismatica		(Montagu, 1808)	Species	Animalia	Mollusca	Bivalvia	Veneroida	Semelidae	Abra	141436
Abyssoninoe hibarnica		(Mc Intosh, 1903)	Species	Animalia	Annelida	Polychaeta	Eunicida	Lumbrineridae	Abyssoninoe	146469
Abyssoninoe hibernica		(Mc Intosh, 1903)	Species	Animalia	Annelida	Polychaeta	Eunicida	Lumbrineridae	Abyssoninoe	146469
Acanthocardia		J.E. Gray, 1851	Genus	Animalia	Mollusca	Bivalvia	Veneroida	Cardiidae	Acanthocardia	137732
Acanthocardia echinata		(Linnaeus, 1758)	Species	Animalia	Mollusca	Bivalvia	Veneroida	Cardiidae	Acanthocardia	138992
Acanthocephala			Phylum	Animalia	Acanthocephala					18814
Acanthoceras zachariasii		(Brun) Simonsen	Species	Chromista	Ochrophyta	Bacillariophyceae	Chaetocerotanae incertae sedis	Acanthocerataceae	Acanthoceras	178990
Acanthocorbis		S.Hara & E.Takahashi, 1984	Genus	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Acanthocorbis	105501
Acanthoica quattrospina		Lohmann, 1903	Species	Chromista	Haptophyta	Prymnesiophyceae	Syracosphaerales	Rhabdosphaeraceae	Acanthoica	235802
Acanthostomella norvegica		Kofoid & Campbell, 1929	Species	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Ascampbelliellidae	Acanthostomella	183556
Acari		Leach, 1817	Subclass	Animalia	Arthropoda	Arachnida				292684
Acarina			Subclass	Animalia	Arthropoda	Arachnida				1349
Acartia		Dana, 1846	Genus	Animalia	Arthropoda		Calanoida	Acartiidae	Acartia	104108
Acartia bifilosa		(Giesbrecht, 1881)	Species	Animalia	Arthropoda		Calanoida	Acartiidae	Acartia	104249
Acartia clausi		Giesbrecht, 1889	Species	Animalia	Arthropoda		Calanoida	Acartiidae	Acartia	104251
Acartia discaudata		(Giesbrecht, 1882)	Species	Animalia	Arthropoda		Calanoida	Acartiidae	Acartia	104253
Acartia longiremis		(Lilljeborg, 1853)	Species	Animalia	Arthropoda		Calanoida	Acartiidae	Acartia	104257
Acartia tonsa		Dana, 1849	Species	Animalia	Arthropoda		Calanoida	Acartiidae	Acartia	104262
Acaulis primarius		Stimpson, 1854	Species	Animalia	Cnidaria	Hydrozoa	Anthoathecata	Acaulidae	Acaulis	117260
Achnanthes		Bory de Saint-Vincent, 1822	Genus	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes	149191
Achnanthes brevipes		C.Agardh, 1824	Species	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes	149387
Achnanthes longipes		C.Agardh, 1824	Species	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes	156533
Achnanthes taeniata		Grunow, 1880	Species	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes	156537
Achnanthidium minutissimum		(Kützing) Czarnecki, 1994	Species	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Achnanthidium	163594
Acidostoma		Lilljeborg, 1865	Genus	Animalia	Arthropoda	Malacostraca	Amphipoda	Acidostomatidae	Acidostoma	101586
Acidostoma nodiferum		Stephensen, 1923	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Acidostomatidae	Acidostoma	102496
Acidostoma obesum		(Bate & Westwood, 1861)	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Acidostomatidae	Acidostoma	102497
Acidostoma obesun		(Bate & Westwood, 1861)	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Acidostomatidae	Acidostoma	102497
Aclis		Lovén, 1846	Genus	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Aclididae	Aclis	137614
Aclis minor		(Brown, 1827)	Species	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Aclididae	Aclis	138681
Acrochaete flustrae		(Reinke) O'Kelly, 2006	Species	Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Acrochaete	377105
Acrochaetiaceae		Fritsch ex W.R. Taylor, 1957	Family	Plantae	Rhodophyta	Florideophyceae		Acrochaetiaceae		143661
Acrochaetium		Nägeli, 1858	Genus	Plantae	Rhodophyta	Florideophyceae		Acrochaetiaceae	Acrochaetium	143799
Acrosiphonia		J.Agardh, 1846	Genus	Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Ulotrichaceae	Acrosiphonia	143803
Acrosiphonia arcta		(Dillwyn) Gain, 1912	Species	Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Ulotrichaceae	Acrosiphonia	144407
Acrosiphoniaceae										143662
Acteon tornatilis		(Linnaeus, 1758)	Species	Animalia	Mollusca	Gastropoda		Acteonidae	Acteon	138691
Actiniaria			Order	Animalia	Cnidaria	Anthozoa	Actiniaria			1360
Actiniarida			Order	Animalia	Cnidaria	Anthozoa	Actiniaria			1360
Actiniscus pentasterias		(Ehrenberg) Ehrenberg, 1844	Species	Chromista	Myzozoa	Dinophyceae	Actiniscales	Actiniscaceae	Actiniscus	109717
Actinocyclus octonarius		Ehrenberg, 1837	Species	Chromista	Ochrophyta	Bacillariophyceae	Coscinodiscales	Hemidiscaceae	Actinocyclus	149164
Actinocyclus octonarius var. crassus		(W.Smith) Hendey, 1954	Variety	Chromista	Ochrophyta	Bacillariophyceae	Coscinodiscales	Hemidiscaceae	Actinocyclus	160648
Actinocyclus octonarius var. octonarius			Variety	Chromista	Ochrophyta	Bacillariophyceae	Coscinodiscales	Hemidiscaceae	Actinocyclus	162770
Actinocyclus octonarius var. tenellus		(Brébisson) Hendey, 1954	Variety	Chromista	Ochrophyta	Bacillariophyceae	Coscinodiscales	Hemidiscaceae	Actinocyclus	160650
Actinocylus octonarius		Ehrenberg, 1837	Species	Chromista	Ochrophyta	Bacillariophyceae	Coscinodiscales	Hemidiscaceae	Actinocyclus	149164
Actinomonas		Kent, 1880	Genus	Chromista	Ochrophyta	Dictyochophyceae	Pedinellales	Pedinellaceae	Actinomonas	369319
Actinopterygii			Class	Animalia	Chordata	Actinopterygii				10194
Actinoptychus senarius		(Ehrenberg) Ehrenberg, 1843	Species	Chromista	Ochrophyta	Bacillariophyceae	Coscinodiscales	Heliopeltaceae	Actinoptychus	148948
Actinostola callosa		(Verrill, 1882)	Species	Animalia	Cnidaria	Anthozoa	Actiniaria	Actinostolidae	Actinostola	100839
Acutodesmus acuminatus		(Lagerheim) Tsarenko	Species	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Acutodesmus	623576
Acutodesmus obliquus		(Turpin) Hegewald & Hanagata	Species	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Acutodesmus	623575
Aegagropila linnaei		Kützing, 1843	Species	Plantae	Chlorophyta	Ulvophyceae	Cladophorales	Cladophoraceae	Aegagropila	381150
Aeolidia papillosa		(Linnaeus, 1761)	Species	Animalia	Mollusca	Gastropoda	Nudibranchia	Aeolidiidae	Aeolidia	138709
Aeolidiidae		Gray, 1827	Family	Animalia	Mollusca	Gastropoda	Nudibranchia	Aeolidiidae		192
Aetideidae		Giesbrecht, 1892	Family	Animalia	Arthropoda		Calanoida	Aetideidae		104075
Aglaophamus agilis		(Langerhans, 1880)	Species	Animalia	Annelida	Polychaeta	Phyllodocida	Nephtyidae	Aglaophamus	130343
Aglaophamus malmgreni		(Théel, 1879)	Species	Animalia	Annelida	Polychaeta	Phyllodocida	Nephtyidae	Aglaophamus	130344
Aglaothamnion		Feldmann-Mazoyer, 1941	Genus	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Callithamniaceae	Aglaothamnion	143825
Aglaothamnion hookeri		(Dillwyn) Maggs & Hommersand, 1993	Species	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Callithamniaceae	Aglaothamnion	144496
Aglaothamnion roseum		(Roth) Maggs & L'Hardy-Halos, 1993	Species	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Callithamniaceae	Aglaothamnion	144499
Agonus cataphractus		(Linnaeus, 1758)	Species	Animalia	Chordata	Actinopteri	Scorpaeniformes	Agonidae	Agonus	127190
Ahnfeltia plicata		(Hudson) E.M.Fries, 1836	Species	Plantae	Rhodophyta	Florideophyceae	Ahnfeltiales	Ahnfeltiaceae	Ahnfeltia	144422
Akashiwo sanguinea		(K.Hirasaka) G.Hansen & Ø.Moestrup, 2000	Species	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Akashiwo	232546
Akera bullata		O. F. Müller, 1776	Species	Animalia	Mollusca	Gastropoda	Anaspidea	Akeridae	Akera	138734
Alcyonidium diaphanum		(Hudson, 1778)	Species	Animalia	Bryozoa	Gymnolaemata	Ctenostomatida	Alcyonidiidae	Alcyonidium	111597
Alcyonidium gelatinosum		(Linnaeus, 1761)	Species	Animalia	Bryozoa	Gymnolaemata	Ctenostomatida	Alcyonidiidae	Alcyonidium	111600
Alcyonium digitatum		Linnaeus, 1758	Species	Animalia	Cnidaria	Anthozoa	Alcyonacea	Alcyoniidae	Alcyonium	125333
Alderia modesta		(Lovén, 1844)	Species	Animalia	Mollusca	Gastropoda	Sacoglossa	Limapontiidae	Alderia	141555
Alexandrium		Halim, 1960	Genus	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Alexandrium	109470
Alexandrium minutum		Halim, 1960	Species	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Alexandrium	109711
Alexandrium ostenfeldii		(Paulsen) Balech & Tangen, 1985	Species	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Alexandrium	109712
Alexandrium pseudogonyaulax		(Biecheler) Horiguchi ex Kita & Fukuyo, 1992	Species	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Alexandrium	109713
Alexandrium tamarense		(Lebour) Balech, emended U. John	Species	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Alexandrium	109714
Alisma wahlenbergii		(Holmb.) Juz.	Species	Plantae	Tracheophyta		Alismatales	Alismataceae	Alisma	715999
Alitta virens		(M. Sars, 1835)	Species	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Alitta	234851
Alkmaria romijni		Horst, 1919	Species	Animalia	Annelida	Polychaeta	Terebellida	Ampharetidae	Alkmaria	129769
Alvania		Risso, 1826	Genus	Animalia	Mollusca	Gastropoda	Littorinimorpha	Rissoidae	Alvania	138439
Alvania punctura		(Montagu, 1803)	Species	Animalia	Mollusca	Gastropoda	Littorinimorpha	Rissoidae	Alvania	141230
Alvania semistriata		(Montagu, 1808)	Species	Animalia	Mollusca	Gastropoda	Littorinimorpha	Rissoidae	Alvania	146484
Alvania subsoluta		(Aradas, 1847)	Species	Animalia	Mollusca	Gastropoda	Littorinimorpha	Rissoidae	Alvania	141247
Alvania testae		(Aradas & Maggiore, 1844)	Species	Animalia	Mollusca	Gastropoda	Littorinimorpha	Rissoidae	Alvania	141251
Alytoleucon pallidus		G.O. Sars, 1865	Species	Animalia	Arthropoda	Malacostraca	Cumacea	Leuconidae	Leucon	110609
Amaeana trilobata		(Sars, 1863)	Species	Animalia	Annelida	Polychaeta	Terebellida	Terebellidae	Amaeana	131471
Amblyops abbreviata		(Sars G.O., 1869)	Species	Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Amblyops	119941
Amblyraja radiata		(Donovan, 1808)	Species	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Amblyraja	105865
Ammodytes tobianus		Linnaeus, 1758	Species	Animalia	Chordata	Actinopteri	Perciformes	Ammodytidae	Ammodytes	126752
Ammodytidae		Bonaparte, 1835	Family	Animalia	Chordata	Actinopteri	Perciformes	Ammodytidae		125516
Ammotheidae		Dohrn, 1881	Family	Animalia	Arthropoda	Pycnogonida	Pantopoda	Ammotheidae		1562
Ampelisca		Krøyer, 1842	Genus	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca	101445
Ampelisca anomala		Sars, 1883	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca	101885
Ampelisca brevicornis		(Costa, 1853)	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca	101891
Ampelisca diadema		(Costa, 1853)	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca	101896
Ampelisca macrocephala		Liljeborg, 1852	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca	101908
Ampelisca macrocephale		Liljeborg, 1852	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca	101908
Ampelisca pusilla		Sars, 1895	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca	101918
Ampelisca spinipes		Boeck, 1861	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca	101928
Ampelisca tenuicornis		Lilljeborg, 1855	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca	101930
Ampelisca typica		(Bate, 1856)	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca	101933
Ampharetae lindstroemi		Malmgren, 1867 sensu Hessle, 1917	Species	Animalia	Annelida	Polychaeta	Terebellida	Ampharetidae	Ampharete	129781
