scientific_name_shark	scientific_name_worms	aphiaid
Abyssoninoe hibarnica	Abyssoninoe hibernica	146469
Acantholeberis curvirostris		
Acidostoma obesun	Acidostoma obesum	102497
Actiniarida	Actiniaria	1360
Actinocyclus		148944
Actinocylus octonarius	Actinocyclus octonarius	149164
Agraylea		
Alytoleucon pallidus	Leucon (Alytoleucon) pallidus	110609
Amblyops abbreviata	Amblyops abbreviatus	119941
Ampelisca macrocephale	Ampelisca macrocephala	101908
Ampharetae lindstroemi	Ampharete lindstroemi	129781
Ampharetidae frgm	Ampharetidae	981
Amphidinium pellucidum		109748
Anisoptera		
Aphanothece		146715
Aplysia		137654
Appendicularia		146421
Appendicullaria	Appendicularia	146421
Apsectrotanypus trifascipennis		
Araphura brevimanus		136344
Arcteonais lomondi		
Aricidea cerutti	Aricidea cerrutii	525497
Artacama proboscoidea	Artacama proboscidea	131482
Ascidella scabra	Ascidiella scabra	103719
Astarte		137683
Asterias		123219
Asterias rubens		379562
Asterope mariae		127700
Astropecten irregularis		123867
Athanas nitiscens	Athanas nitescens	107486
Athripsodes		
Athripsodes aterrimus		
Atylus swammerdami	Atylus swammerdamei	102131
Aulodrilus pluriseta		
Baetis rhodani		
Bathyporeia pilosa		103068
Bicosta		105505
Bosmina coregoni	Bosmina (Eubosmina) coregoni	106271
Bosmina coregoni longirostris	Bosmina	106265
Bosmina coregoni maritima	Bosmina (Eubosmina) coregoni maritima	106279
Brychius		
Caenis horaria		
Calianassa subteranea	Callianassa subterranea	107729
Calianassa subterranea	Callianassa subterranea	107729
Calliannassa subteranea	Callianassa subterranea	107729
Camptochironomus		
Centroptilum luteolum		
Cephalochordata (Branchiostoma spp.)	Cephalochordata	1824
Cerastoderma glaucum		138999
Ceratium longipes		109964
Ceratium macroceros		109967
Ceratium tripos		109982
Cercopagis pengoi	Cercopagis (Cercopagis) pengoi	234025
Cerianthus lloydiii	Cerianthus lloydii	283798
Chaetoceros borealis		149124
Chaetoceros ceratosporus var. ceratosporus		163016
Chaetoceros concavicornis		156607
Chaetoceros gracilis		178204
Chaetoceros pseudobrevis	Chaetoceros pseudobreve	163109
Chaetopterus frgm	Chaetopterus	129229
Chaoboridae		
Chaoborus		
Chaoborus flavicans		
Cheirocrathus sundevalli	Cheirocratus sundevalli	102798
Chironomus anthracinus		
Chironomus larval form semireductus		
Chironomus plumosus		
Choanoflagellidea	Choanoflagellida	25
Cladopelma		
Closterium acutum var. acutum	Closterium acutum subsp. acutum	254439
Cochlodinium helix		109767
Comasiella arcuata var. arcuata		
Corophidae	Corophiidae	101376
Coscinodiscus radiatus		149158
Crangon		107007
Crangon allmani	Crangon allmanni	107551
Crassicorophium bonnellii	Crassicorophium bonellii	237004
Cryptaulax		146167
Ctenophora		1248
Cuspidothrix issatschenkoi		
Cyanophtalma obscura	Cyanophthalma obscura	122739
Cyclotrichium		341295
Cyrnus flavidus		
Daphnia		148370
Demicryptochironomus vulneratus		
Dentalium		137886
Desmodesmus armatus var. armatus	Desmodesmus armatus	612499
Desmodesmus opoliensis var. opoliensis		
Diastylis biplicata	Diastyloides biplicatus	110494
