internal_key	keep_value	remove_value
dataset_name	SHARK_Bacterioplankton_ABU_2006_UMSC_Bactabund	
dataset_name	SHARK_Bacterioplankton_ABU_2007_UMSC_Bactabund	
dataset_name	SHARK_Bacterioplankton_ABU_2008_UMSC_Bactabund	
dataset_name	SHARK_Bacterioplankton_ABU_2009_UMSC_Bactabund	
dataset_name	SHARK_Bacterioplankton_ABU_2010_UMSC_Bactabund	
dataset_name	SHARK_Bacterioplankton_ABU_2011_UMSC_Bactabund	
dataset_name	SHARK_Bacterioplankton_ABU_2012_UMSC_Bactabund	
dataset_name	SHARK_Bacterioplankton_ABU_2013_UMSC_Bactabund	
dataset_name	SHARK_Bacterioplankton_ABU_2014_UMSC_Bactabund	
dataset_name	SHARK_Bacterioplankton_ABU_2015_UMSC_Bactabund	
dataset_name	SHARK_Bacterioplankton_ABU_2016_UMSC_Bactabund	
dataset_name	SHARK_Bacterioplankton_GR_2006_UMSC	
dataset_name	SHARK_Bacterioplankton_GR_2007_UMSC	
dataset_name	SHARK_Bacterioplankton_GR_2008_UMSC	
dataset_name	SHARK_Bacterioplankton_GR_2009_UMSC	
dataset_name	SHARK_Bacterioplankton_GR_2010_UMSC	
dataset_name	SHARK_Bacterioplankton_GR_2011_UMSC	
dataset_name	SHARK_Bacterioplankton_GR_2012_UMSC	
dataset_name	SHARK_Bacterioplankton_GR_2013_UMSC	
dataset_name	SHARK_Bacterioplankton_GR_2014_UMSC	
dataset_name	SHARK_Bacterioplankton_GR_2015_UMSC	
dataset_name	SHARK_Bacterioplankton_GR_2016_UMSC	
dataset_name	SHARK_Bacterioplankton_PL_1989_2005_UMSC	
dataset_name	SHARK_Chlorophyll_1982_2005_SMHI_SUSE	
dataset_name	SHARK_Chlorophyll_1985_1989_SMHI	
dataset_name	SHARK_Chlorophyll_1989_2005_UMSC	
dataset_name	SHARK_Chlorophyll_1990_1999_SMHI	
dataset_name	SHARK_Chlorophyll_2000_2010_SMHI	
dataset_name	SHARK_Chlorophyll_2006_SUSE	
dataset_name	SHARK_Chlorophyll_2006_UMSC	
dataset_name	SHARK_Chlorophyll_2007_SUSE	
dataset_name	SHARK_Chlorophyll_2007_UMSC	
dataset_name	SHARK_Chlorophyll_2008_SUSE	
dataset_name	SHARK_Chlorophyll_2008_UMSC	
dataset_name	SHARK_Chlorophyll_2009_SUSE	
dataset_name	SHARK_Chlorophyll_2009_UMSC	
dataset_name	SHARK_Chlorophyll_2010_SUSE	
dataset_name	SHARK_Chlorophyll_2010_UMSC	
dataset_name	SHARK_Chlorophyll_2011_SMHI	
dataset_name	SHARK_Chlorophyll_2011_SUSE	
dataset_name	SHARK_Chlorophyll_2011_UMSC	
dataset_name	SHARK_Chlorophyll_2012_SMHI	
dataset_name	SHARK_Chlorophyll_2012_UMSC	
dataset_name	SHARK_Chlorophyll_2013_DEEP	
dataset_name	SHARK_Chlorophyll_2013_SMHI	
dataset_name	SHARK_Chlorophyll_2013_UMSC	
dataset_name	SHARK_Chlorophyll_2014_DEEP	
dataset_name	SHARK_Chlorophyll_2014_SMHI	
dataset_name	SHARK_Chlorophyll_2014_UMSC	
dataset_name	SHARK_Chlorophyll_2015_DEEP	
dataset_name	SHARK_Chlorophyll_2015_SMHI	
dataset_name	SHARK_Chlorophyll_2015_UMSC	
dataset_name	SHARK_Chlorophyll_2016_DEEP	
dataset_name	SHARK_Chlorophyll_2016_SMHI	
dataset_name	SHARK_Chlorophyll_2016_UMSC	
dataset_name	SHARK_Chlorophyll_2017_DEEP	
dataset_name	SHARK_Chlorophyll_2017_SMHI	
dataset_name	SHARK_Chlorophyll_2017_UMSC	
dataset_name	SHARK_Epibenthos_1993_TMBL	
